Name,address,rating ,type,location
Circle Centre Mall,49 W Maryland St,4.1,Shopping mall,https://www.google.com/maps/place/Circle+Centre+Mall/data=!4m7!3m6!1s0x886b50bc7d454c59:0xca61d4c2ac2b8fe0!8m2!3d39.7663952!4d-86.1597752!16zL20vMGZxYmx5!19sChIJWUxFfbxQa4gR4I8rrMLUYco?authuser=0&hl=en&rclk=1
Silver In the City,434 Massachusetts Ave,4.7,Gift shop,https://www.google.com/maps/place/Silver+In+the+City/data=!4m7!3m6!1s0x886b5094cfb4ad3d:0x89447a9e7e291a07!8m2!3d39.7733855!4d-86.1517062!16s%2Fg%2F1tddsyp8!19sChIJPa20z5RQa4gRBxopfp56RIk?authuser=0&hl=en&rclk=1
The Indiana Store,650 W Washington St,3.8,Souvenir store,https://www.google.com/maps/place/The+Indiana+Store/data=!4m7!3m6!1s0x886b50b111623237:0x31e45d74e27a651f!8m2!3d39.7685119!4d-86.1696324!16s%2Fg%2F11h0m6yb1!19sChIJNzJiEbFQa4gRH2V64nRd5DE?authuser=0&hl=en&rclk=1
Homespun: Modern Handmade,869 Massachusetts Ave,4.8,Boutique,https://www.google.com/maps/place/Homespun:+Modern+Handmade/data=!4m7!3m6!1s0x886b4f957c140fed:0xad5905b7d7c40e38!8m2!3d39.7790525!4d-86.1429117!16s%2Fg%2F1tjjq38q!19sChIJ7Q8UfJVPa4gROA7E17cFWa0?authuser=0&hl=en&rclk=1
The Shop,918 Broad Ripple Ave,4.6,T-shirt store,https://www.google.com/maps/place/The+Shop/data=!4m7!3m6!1s0x886b53af207c88b5:0x22ef3dd213f5c49a!8m2!3d39.8699139!4d-86.142204!16s%2Fg%2F11bwdfj527!19sChIJtYh8IK9Ta4gRmsT1E9I97yI?authuser=0&hl=en&rclk=1
The Fashion Mall at Keystone,8702 Keystone Crossing,4.4,Shopping mall,https://www.google.com/maps/place/The+Fashion+Mall+at+Keystone/data=!4m7!3m6!1s0x886b52b4619a2e51:0xc2fb84d84b70b63c!8m2!3d39.9139901!4d-86.1093871!16s%2Fm%2F0270rdw!19sChIJUS6aYbRSa4gRPLZwS9iE-8I?authuser=0&hl=en&rclk=1
Indiana Discount Mall,"Lafayette Place Shopping Center, 3585 Commercial Dr",4.1,Discount store,https://www.google.com/maps/place/Indiana+Discount+Mall/data=!4m7!3m6!1s0x886b56688aaf4247:0x6930a1a67fbed173!8m2!3d39.8173603!4d-86.2269688!16s%2Fg%2F1tdg3z9r!19sChIJR0KvimhWa4gRc9G-f6ahMGk?authuser=0&hl=en&rclk=1
Good Neighbor,850 Massachusetts Ave Suite 115,4.1,Clothing store,https://www.google.com/maps/place/Good+Neighbor/data=!4m7!3m6!1s0x886b51a4562dc4f1:0x5db8af3f607a3dd5!8m2!3d39.780055!4d-86.1433515!16s%2Fg%2F11qptgkqjw!19sChIJ8cQtVqRRa4gR1T16YD-vuF0?authuser=0&hl=en&rclk=1
T.J. Maxx,50 N Illinois St,4.1,Department store,https://www.google.com/maps/place/T.J.+Maxx/data=!4m7!3m6!1s0x886b50bc0823f4e7:0x9a69dc4631f9cbdc!8m2!3d39.7681947!4d-86.1600698!16s%2Fg%2F1td7ty7n!19sChIJ5_QjCLxQa4gR3Mv5MUbcaZo?authuser=0&hl=en&rclk=1
Sage Boutique,431 Massachusetts Ave,3.5,Clothing store,https://www.google.com/maps/place/Sage+Boutique/data=!4m7!3m6!1s0x886b5094c6901fed:0xaf14a0e5fc93863a!8m2!3d39.7732215!4d-86.1513105!16s%2Fg%2F11cr_154nd!19sChIJ7R-QxpRQa4gROoaT_OWgFK8?authuser=0&hl=en&rclk=1
